,mills,OPEX,CAPEX,logistic,profit,additional costs,et,etmk,etsaf,etpc,etref,eta,etr,j1,j2,sug,el,SAF,SAF ref,SAF air,g,d,objective,sc cost,individual profit,capacity,incentives
0,Abengoa - São João Bv,503908760.1556998,0.0,0.0,110938903716.78949,83285435782.57361,108338.4,108338.4,0.0,0.0,0.0,0.0,0.0,2171776.115722857,30223.88427714305,267128.4622339114,159600.0,0.0,0.0,0.0,0.0,0.0,220659141867.61475,220659141867.61475,581352397.0826058,3000000,0
1,Abengoa - São Luiz,503908760.1556998,0.0,0.0,110938903716.78949,83285435782.57361,108338.4,108338.4,0.0,0.0,0.0,0.0,0.0,2171776.115722857,30223.88427714305,267128.4622339114,159600.0,0.0,0.0,0.0,0.0,0.0,220659141867.61475,220659141867.61475,581352397.0826058,3000000,0
2,Adecoagro,824184167.2988,0.0,0.0,110938903716.78949,83285435782.57361,341563.8906,341563.8906,0.0,0.0,0.0,0.0,0.0,1468000.0,2202000.0,180564.0,266000.0,0.0,0.0,0.0,0.0,0.0,220659141867.61475,220659141867.61475,573738099.935328,5000000,0
3,Agrisa,162699436.0,0.0,0.0,110938903716.78949,83285435782.57361,90282.0,90282.0,0.0,0.0,0.0,0.0,0.0,0.0,734000.0,0.0,53200.0,0.0,0.0,0.0,0.0,0.0,220659141867.61475,220659141867.61475,60823028.16,1000000,0
4,Agrocan,162699436.0,0.0,0.0,110938903716.78949,83285435782.57361,90282.0,90282.0,0.0,0.0,0.0,0.0,0.0,0.0,734000.0,0.0,53200.0,0.0,0.0,0.0,0.0,0.0,220659141867.61475,220659141867.61475,60823028.16,1000000,0
5,Agropaulo - Un. Jaguaruana,162699436.0,0.0,0.0,110938903716.78949,83285435782.57361,90282.0,90282.0,0.0,0.0,0.0,0.0,0.0,0.0,734000.0,0.0,53200.0,0.0,0.0,0.0,0.0,0.0,220659141867.61475,220659141867.61475,60823028.16,1000000,0
6,Agropeu,335939173.4371332,0.0,0.0,110938903716.78949,83285435782.57361,72225.6,72225.6,0.0,0.0,0.0,0.0,0.0,1447850.743815238,20149.25618476211,178085.64148927425,106400.0,0.0,0.0,0.0,0.0,0.0,220659141867.61475,220659141867.61475,387568264.72173727,2000000,0
7,Agrosserra,162699436.0,0.0,0.0,110938903716.78949,83285435782.57361,90282.0,90282.0,0.0,0.0,0.0,0.0,0.0,0.0,734000.0,0.0,53200.0,0.0,0.0,0.0,0.0,0.0,220659141867.61475,220659141867.61475,60823028.16,1000000,0
8,Água Bonita,335939173.4371332,0.0,0.0,110938903716.78949,83285435782.57361,72225.6,72225.6,0.0,0.0,0.0,0.0,0.0,1447850.743815238,20149.25618476211,178085.64148927425,106400.0,0.0,0.0,0.0,0.0,0.0,220659141867.61475,220659141867.61475,387568264.72173727,2000000,0
9,Alcoeste,167969586.71856663,0.0,0.0,110938903716.78949,83285435782.57361,36112.8,36112.8,0.0,0.0,0.0,0.0,0.0,723925.3719076191,10074.628092380939,89042.82074463714,53200.0,0.0,0.0,0.0,0.0,0.0,220659141867.61475,220659141867.61475,193784132.3608686,1000000,0
