,mills,OPEX,CAPEX,logistic,profit,additional costs,et,etmk,etsaf,etpc,etref,eta,etr,j1,j2,sug,el,SAF,SAF ref,SAF air,g,d,objective,sc cost,individual profit,capacity
0,Abengoa - São João Bv,503908760.15569973,0.0,5056719.678813382,129900525070.27321,94455585594.58951,108338.4,0.0,0.0,0.0,0.0,0.0,108338.4,2171776.1157228565,30223.884277143516,267128.4622339113,159600.0,0.0,0.0,0.0,0.0,0.0,129900525070.27321,232413815347.99292,576295677.4037921,3000000
1,Abengoa - São Luiz,503908760.15569973,0.0,3583006.038999103,129900525070.27321,94455585594.58951,108338.4,0.0,0.0,0.0,0.0,0.0,108338.4,2171776.1157228565,30223.884277143516,267128.4622339113,159600.0,0.0,0.0,0.0,0.0,0.0,129900525070.27321,232413815347.99292,577769391.0436065,3000000
2,Adecoagro,839847933.592833,0.0,0.0,129900525070.27321,94455585594.58951,180564.0,180564.0,0.0,0.0,0.0,0.0,0.0,3619626.8595380946,50373.140461905394,445214.1037231856,266000.0,0.0,0.0,0.0,0.0,0.0,129900525070.27321,232413815347.99292,968920661.8043427,5000000
3,Agrisa,162699436.0,0.0,3300113.76853908,129900525070.27321,94455585594.58951,90282.0,0.0,0.0,0.0,0.0,0.0,90282.0,0.0,734000.0,0.0,53200.0,0.0,0.0,0.0,0.0,0.0,129900525070.27321,232413815347.99292,57522914.391460925,1000000
4,Agrocan,162699436.0,0.0,0.0,129900525070.27321,94455585594.58951,90282.0,90282.0,0.0,0.0,0.0,0.0,0.0,0.0,734000.0,0.0,53200.0,0.0,0.0,0.0,0.0,0.0,129900525070.27321,232413815347.99292,60823028.16,1000000
5,Agropaulo - Un. Jaguaruana,162699436.0,0.0,3890847.2536102505,129900525070.27321,94455585594.58951,90282.0,0.0,0.0,0.0,0.0,0.0,90282.0,0.0,734000.0,0.0,53200.0,0.0,0.0,0.0,0.0,0.0,129900525070.27321,232413815347.99292,56932180.90638974,1000000
6,Agropeu,335939173.4371332,0.0,2694770.956065631,129900525070.27321,94455585594.58951,72225.6,0.0,0.0,0.0,0.0,0.0,72225.6,1447850.743815238,20149.25618476211,178085.64148927425,106400.0,0.0,0.0,0.0,0.0,0.0,129900525070.27321,232413815347.99292,384873493.7656716,2000000
7,Agrosserra,162699436.0,0.0,0.0,129900525070.27321,94455585594.58951,90282.0,90282.0,0.0,0.0,0.0,0.0,0.0,0.0,734000.0,0.0,53200.0,0.0,0.0,0.0,0.0,0.0,129900525070.27321,232413815347.99292,60823028.16,1000000
8,Água Bonita,335939173.4371332,0.0,0.0,129900525070.27321,94455585594.58951,72225.6,72225.6,0.0,0.0,0.0,0.0,0.0,1447850.743815238,20149.25618476211,178085.64148927425,106400.0,0.0,0.0,0.0,0.0,0.0,129900525070.27321,232413815347.99292,387568264.72173727,2000000
9,Alcoeste,167969586.7185666,0.0,0.0,129900525070.27321,94455585594.58951,36112.8,36112.8,0.0,0.0,0.0,0.0,0.0,723925.371907619,10074.628092381055,89042.82074463711,53200.0,0.0,0.0,0.0,0.0,0.0,129900525070.27321,232413815347.99292,193784132.3608685,1000000
10,Alcon,167969586.7185666,0.0,0.0,129900525070.27321,94455585594.58951,36112.8,36112.8,0.0,0.0,0.0,0.0,0.0,723925.371907619,10074.628092381055,89042.82074463711,53200.0,0.0,0.0,0.0,0.0,0.0,129900525070.27321,232413815347.99292,193784132.3608685,1000000
11,Alcoolquímica,335939173.4371332,0.0,0.0,129900525070.27321,94455585594.58951,72225.6,72225.6,0.0,0.0,0.0,0.0,0.0,1447850.743815238,20149.25618476211,178085.64148927425,106400.0,0.0,0.0,0.0,0.0,0.0,129900525070.27321,232413815347.99292,387568264.72173727,2000000
12,Alcoolvale,335939173.4371332,0.0,0.0,129900525070.27321,94455585594.58951,72225.6,72225.6,0.0,0.0,0.0,0.0,0.0,1447850.743815238,20149.25618476211,178085.64148927425,106400.0,0.0,0.0,0.0,0.0,0.0,129900525070.27321,232413815347.99292,387568264.72173727,2000000
13,Alta Floresta (Alto Alegre),335939173.4371332,0.0,0.0,129900525070.27321,94455585594.58951,72225.6,72225.6,0.0,0.0,0.0,0.0,0.0,1447850.743815238,20149.25618476211,178085.64148927425,106400.0,0.0,0.0,0.0,0.0,0.0,129900525070.27321,232413815347.99292,387568264.72173727,2000000
14,Alta Mogiana,923832726.9521163,0.0,0.0,129900525070.27321,94455585594.58951,198620.4,198620.4,0.0,0.0,0.0,0.0,0.0,3981589.545491904,55410.45450809598,489735.5140955042,292600.0,0.0,0.0,0.0,0.0,0.0,129900525070.27321,232413815347.99292,1065812727.9847772,5500000
15,Alta Paulista (Usalpa),335939173.4371332,0.0,0.0,129900525070.27321,94455585594.58951,72225.6,72225.6,0.0,0.0,0.0,0.0,0.0,1447850.743815238,20149.25618476211,178085.64148927425,106400.0,0.0,0.0,0.0,0.0,0.0,129900525070.27321,232413815347.99292,387568264.72173727,2000000
16,Alta Paulista II,325398872.0,0.0,0.0,129900525070.27321,94455585594.58951,180564.0,180564.0,0.0,0.0,0.0,0.0,0.0,0.0,1468000.0,0.0,106400.0,0.0,0.0,0.0,0.0,0.0,129900525070.27321,232413815347.99292,121646056.32,2000000
17,Alto Alegre - Florestópolis,503908760.15569973,0.0,0.0,129900525070.27321,94455585594.58951,108338.4,108338.4,0.0,0.0,0.0,0.0,0.0,2171776.1157228565,30223.884277143516,267128.4622339113,159600.0,0.0,0.0,0.0,0.0,0.0,129900525070.27321,232413815347.99292,581352397.0826056,3000000
