,volumes,Refinaria Clara Camarão,Refinaria Landulpho Alves,Refinaria Duque de Caxias,Refinaria Alberto Pasqualini ,Refinaria Gabriel Passos,Refinaria Isaac Sabbá,Refinaria Presidente Getúlio Vargas,Refinaria de Paulínia ,Refinaria Henrique Lage
0,Guarulhos - Governador André Franco Montoro,0.0,0.0,0.0,0,0.0,0,0.0,893590.4655,0
1,Presidente Juscelino Kubitschek,0.0,0.0,0.0,0,0.0,0,0.0,170270.122,0
2,Tancredo Neves,0.0,0.0,0.0,0,19806.2035,0,0.0,0.0,0
3,Viracopos,0.0,0.0,0.0,0,0.0,0,0.0,204194.79,0
4,RIo de Janeiro/Galeão - Antônio Carlos Jobim,0.0,0.0,408696.7075,0,0.0,0,0.0,0.0,0
5,Guararapes - Gilberto Freyre Internacional,115868.521,0.0,0.0,0,0.0,0,0.0,0.0,0
6,Deputado Luis Eduardo Magalhães-Intl,0.0,66975.8655,0.0,0,0.0,0,0.0,0.0,0
7,Salgado Filho,0.0,0.0,0.0,0,0.0,0,59652.362,0.0,0
8,Hercílio Luz,0.0,0.0,0.0,0,0.0,0,18013.8925,0.0,0
9,Pinto Martins,73997.537,0.0,0.0,0,0.0,0,0.0,0.0,0
10,Aeroporto Internacional Afonso Pena,0.0,0.0,0.0,0,0.0,0,2427.5615,0.0,0
11,Presidente Castro Pinto,78.951,0.0,0.0,0,0.0,0,0.0,0.0,0
12,Marechal Rondon,0.0,0.0,0.0,0,0.0,0,0.0,783.5325,0
13,Santa Genoveva,0.0,0.0,0.0,0,0.0,0,0.0,29775.9825,0
14,Aeroporto Internacional do Rio Grande do Norte / São Gonçalo do Amarante - Governador Aluizio Alves,28.252,0.0,0.0,0,0.0,0,0.0,0.0,0
15,Zumbi dos Palmares,0.0,3956.667,0.0,0,0.0,0,0.0,0.0,0
16,Marechal Cunha Machado Internacional,16636.8135,0.0,0.0,0,0.0,0,0.0,0.0,0
17,Aeroporto Internacional de Parnaíba / Prefeito Doutor João Silva Filho,95.6775,0.0,0.0,0,0.0,0,0.0,0.0,0
18,Santa Maria,0.0,10916.1105,0.0,0,0.0,0,0.0,0.0,0
19,Campo Grande Internacional,0.0,0.0,0.0,0,0.0,0,0.0,7.2245,0
20,Corumbá Internacional,0.0,0.0,0.0,0,0.0,0,0.0,288.831,0
21,Eurico de Aguiar Salles,0.0,0.0,0.0,0,12575.428,0,0.0,0.0,0
22,Cabo Frio,0.0,0.0,4152.822,0,0.0,0,0.0,0.0,0
23,Cataratas,0.0,0.0,0.0,0,0.0,0,10086.5635,0.0,0
24,João Simões Lopes Neto,0.0,0.0,0.0,0,0.0,0,226.699,0.0,0
25,Rubem Berta,0.0,0.0,0.0,0,0.0,0,178.991,0.0,0
26,Navegantes / Ministro Victor Konder - Internacional,0.0,0.0,0.0,0,0.0,0,7635.593,0.0,0
27,Aeroporto Internacional de Ponta Porã,0.0,0.0,0.0,0,0.0,0,0.0,81.6595,0
28,Aeroporto Internacional Senador Nilo Coelho,0.0,5282.4175,0.0,0,0.0,0,0.0,0.0,0
