,mills,OPEX,CAPEX,logistic,profit,additional costs,et,etmk,etsaf,etpc,etref,eta,etr,j1,j2,sug,el,SAF,SAF ref,SAF air,g,d,objective,sc cost,individual profit,capacity,incentives
0,Abengoa - São João Bv,494510500.37928,0.0,0.0,112040772553.22394,83293632674.52559,204938.33435999998,204938.33435999998,0.0,0.0,0.0,0.0,0.0,880800.0,1321200.0,108338.4,159600.0,0.0,0.0,0.0,0.0,0.0,220164030425.33405,220164030425.33405,344242859.9611968,3000000,0
1,Abengoa - São Luiz,503908760.1556998,0.0,0.0,112040772553.22394,83293632674.52559,108338.4,108338.4,0.0,0.0,0.0,0.0,0.0,2171776.115722857,30223.88427714305,267128.4622339114,159600.0,0.0,0.0,0.0,0.0,0.0,220164030425.33405,220164030425.33405,581352397.0826058,3000000,0
2,Adecoagro,839847933.592833,0.0,0.0,112040772553.22394,83293632674.52559,180564.0,180564.0,0.0,0.0,0.0,0.0,0.0,3619626.859538095,50373.14046190493,445214.10372318566,266000.0,0.0,0.0,0.0,0.0,0.0,220164030425.33405,220164030425.33405,968920661.804343,5000000,0
3,Agrisa,162699436.0,0.0,0.0,112040772553.22394,83293632674.52559,90282.0,90282.0,0.0,0.0,0.0,0.0,0.0,0.0,734000.0,0.0,53200.0,0.0,0.0,0.0,0.0,0.0,220164030425.33405,220164030425.33405,60823028.16,1000000,0
4,Agrocan,162699436.0,0.0,0.0,112040772553.22394,83293632674.52559,90282.0,90282.0,0.0,0.0,0.0,0.0,0.0,0.0,734000.0,0.0,53200.0,0.0,0.0,0.0,0.0,0.0,220164030425.33405,220164030425.33405,60823028.16,1000000,0
5,Agropaulo - Un. Jaguaruana,162699436.0,0.0,0.0,112040772553.22394,83293632674.52559,90282.0,90282.0,0.0,0.0,0.0,0.0,0.0,0.0,734000.0,0.0,53200.0,0.0,0.0,0.0,0.0,0.0,220164030425.33405,220164030425.33405,60823028.16,1000000,0
6,Agropeu,335939173.4371332,0.0,0.0,112040772553.22394,83293632674.52559,72225.6,72225.6,0.0,0.0,0.0,0.0,0.0,1447850.743815238,20149.25618476211,178085.64148927425,106400.0,0.0,0.0,0.0,0.0,0.0,220164030425.33405,220164030425.33405,387568264.72173727,2000000,0
7,Agrosserra,162699436.0,0.0,0.0,112040772553.22394,83293632674.52559,90282.0,90282.0,0.0,0.0,0.0,0.0,0.0,0.0,734000.0,0.0,53200.0,0.0,0.0,0.0,0.0,0.0,220164030425.33405,220164030425.33405,60823028.16,1000000,0
8,Água Bonita,335939173.4371331,0.0,0.0,112040772553.22394,83293632674.52559,72225.6,72225.6,0.0,0.0,0.0,0.0,0.0,1447850.7438152367,20149.256184763275,178085.6414892741,106400.0,0.0,0.0,0.0,0.0,0.0,220164030425.33405,220164030425.33405,387568264.7217369,2000000,0
9,Alcoeste,167969586.71856663,0.0,0.0,112040772553.22394,83293632674.52559,36112.8,36112.8,0.0,0.0,0.0,0.0,0.0,723925.3719076191,10074.628092380939,89042.82074463714,53200.0,0.0,0.0,0.0,0.0,0.0,220164030425.33405,220164030425.33405,193784132.3608686,1000000,0
