,mills,OPEX,CAPEX,logistic,profit,additional costs,et,etmk,etsaf,etpc,etref,eta,etr,j1,j2,sug,el,SAF,SAF ref,SAF air,g,d,objective,sc cost,individual profit,capacity,incentives
0,Abengoa - São João Bv,503908760.1556998,0.0,0.0,109842796151.81808,83277238890.62167,108338.4,108338.4,0.0,0.0,0.0,0.0,0.0,2171776.115722857,30223.88427714305,267128.4622339114,159600.0,0.0,0.0,0.0,0.0,0.0,221152732794.52032,221152732794.52032,581352397.0826058,3000000,0
1,Abengoa - São Luiz,494510500.37928,0.0,0.0,109842796151.81808,83277238890.62167,204938.33435999998,204938.33435999992,0.0,0.0,0.0,0.0,0.0,880800.0,1321200.0,108338.4,159600.0,0.0,0.0,0.0,0.0,0.0,221152732794.52032,221152732794.52032,344242859.96119666,3000000,0
2,Adecoagro,839847933.592833,0.0,0.0,109842796151.81808,83277238890.62167,180564.0,180564.0,0.0,0.0,0.0,0.0,0.0,3619626.859538095,50373.14046190493,445214.10372318566,266000.0,0.0,0.0,0.0,0.0,0.0,221152732794.52032,221152732794.52032,968920661.804343,5000000,0
3,Agrisa,162699436.0,0.0,0.0,109842796151.81808,83277238890.62167,90282.0,90282.0,0.0,0.0,0.0,0.0,0.0,0.0,734000.0,0.0,53200.0,0.0,0.0,0.0,0.0,0.0,221152732794.52032,221152732794.52032,60823028.16,1000000,0
4,Agrocan,162699436.0,0.0,0.0,109842796151.81808,83277238890.62167,90282.0,90282.0,0.0,0.0,0.0,0.0,0.0,0.0,734000.0,0.0,53200.0,0.0,0.0,0.0,0.0,0.0,221152732794.52032,221152732794.52032,60823028.16,1000000,0
5,Agropaulo - Un. Jaguaruana,162699436.0,0.0,0.0,109842796151.81808,83277238890.62167,90282.0,90282.0,0.0,0.0,0.0,0.0,0.0,0.0,734000.0,0.0,53200.0,0.0,0.0,0.0,0.0,0.0,221152732794.52032,221152732794.52032,60823028.16,1000000,0
6,Agropeu,335939173.4371332,0.0,0.0,109842796151.81808,83277238890.62167,72225.6,72225.6,0.0,0.0,0.0,0.0,0.0,1447850.743815238,20149.25618476211,178085.64148927425,106400.0,0.0,0.0,0.0,0.0,0.0,221152732794.52032,221152732794.52032,387568264.72173727,2000000,0
7,Agrosserra,162699436.0,0.0,0.0,109842796151.81808,83277238890.62167,90282.0,90282.0,0.0,0.0,0.0,0.0,0.0,0.0,734000.0,0.0,53200.0,0.0,0.0,0.0,0.0,0.0,221152732794.52032,221152732794.52032,60823028.16,1000000,0
8,Água Bonita,335939173.4371332,0.0,0.0,109842796151.81808,83277238890.62167,72225.6,72225.6,0.0,0.0,0.0,0.0,0.0,1447850.743815238,20149.25618476211,178085.64148927425,106400.0,0.0,0.0,0.0,0.0,0.0,221152732794.52032,221152732794.52032,387568264.72173727,2000000,0
9,Alcoeste,167969586.71856663,0.0,0.0,109842796151.81808,83277238890.62167,36112.8,36112.8,0.0,0.0,0.0,0.0,0.0,723925.3719076191,10074.628092380939,89042.82074463714,53200.0,0.0,0.0,0.0,0.0,0.0,221152732794.52032,221152732794.52032,193784132.3608686,1000000,0
10,Alcon,167969586.71856663,0.0,0.0,109842796151.81808,83277238890.62167,36112.8,36112.8,0.0,0.0,0.0,0.0,0.0,723925.3719076191,10074.628092380939,89042.82074463714,53200.0,0.0,0.0,0.0,0.0,0.0,221152732794.52032,221152732794.52032,193784132.3608686,1000000,0
11,Alcoolquímica,335939173.4371332,0.0,0.0,109842796151.81808,83277238890.62167,72225.6,72225.6,0.0,0.0,0.0,0.0,0.0,1447850.743815238,20149.25618476211,178085.64148927425,106400.0,0.0,0.0,0.0,0.0,0.0,221152732794.52032,221152732794.52032,387568264.72173727,2000000,0
